"","TagId","visit_start","visit_end","duration","YMDL","span","visit_num","TAIR","RELH","PRES","WSPD","SRAD"
"1","19552D55",2021-01-22 11:51:00,2021-01-22 11:57:00,360,2021-01-22,NA,1,3.2,54,874.44,4,558
"11","19552D55",2021-01-22 12:42:00,2021-01-22 12:45:00,180,2021-01-22,2700,2,4.8,53,873.4,4.3,601
"13","19552D55",2021-01-23 14:06:00,2021-01-23 14:09:00,180,2021-01-23,NA,1,15.5,32,863.34,11,581
"21","19552D55",2021-01-24 10:15:00,2021-01-24 10:33:00,1080,2021-01-24,NA,1,-2.9,82,871.97,3.9,148
"35","19552D55",2021-01-24 12:42:00,2021-01-24 12:45:00,180,2021-01-24,7740,2,-1.2,75,869.97,3.3,320
"38","19552D55",2021-01-25 11:12:00,2021-01-25 11:15:00,180,2021-01-25,NA,1,-0.4,77,861.42,7.3,460
"41","19552D55",2021-01-25 12:51:00,2021-01-25 12:57:00,360,2021-01-25,5760,2,1.9,59,861.64,9.1,348
"51","19552D55",2021-01-28 10:42:00,2021-01-28 10:48:00,360,2021-01-28,NA,1,5.8,28,879.3,9.6,279
"56","19552D55",2021-01-28 11:12:00,2021-01-28 11:12:00,0,2021-01-28,1440,2,9.1,22,879.36,9.9,578
"58","19552D55",2021-01-28 13:00:00,2021-01-28 13:03:00,180,2021-01-28,6480,3,12.2,13,878.54,11.1,350
"64","19552D55",2021-01-29 09:51:00,2021-01-29 10:00:00,540,2021-01-29,NA,1,5.6,37,869.78,7.9,203
"71","19552D55",2021-01-29 11:27:00,2021-01-29 11:36:00,540,2021-01-29,5220,2,10.6,27,870.01,5.8,284
"81","19552D55",2021-01-29 12:57:00,2021-01-29 13:00:00,180,2021-01-29,4860,3,15.6,17,868.59,3.3,304
"89","19552D55",2021-01-30 09:33:00,2021-01-30 09:39:00,360,2021-01-30,NA,1,9.7,36,860.07,15.2,268
"92","19552D55",2021-01-30 11:24:00,2021-01-30 11:27:00,180,2021-01-30,6300,2,12.5,32,863.79,19.4,536
"94","19552D55",2021-01-31 11:03:00,2021-01-31 11:03:00,0,2021-01-31,NA,1,7.1,39,884.74,10.9,520
"95","19552D55",2021-02-01 10:39:00,2021-02-01 10:42:00,180,2021-02-01,NA,1,9.9,37,881.31,8.6,466
"98","19552D55",2021-02-01 12:24:00,2021-02-01 12:30:00,360,2021-02-01,6120,2,12.1,30,879.79,10.5,550
"104","19552D55",2021-02-02 10:00:00,2021-02-02 10:06:00,360,2021-02-02,NA,1,11.2,30,874.2,5.3,376
"113","19552D55",2021-02-03 09:51:00,2021-02-03 09:54:00,180,2021-02-03,NA,1,9.5,49,867.97,2.8,384
"115","19552D55",2021-02-03 10:15:00,2021-02-03 10:27:00,720,2021-02-03,1260,2,NA,NA,NA,NA,NA
"120","19552D55",2021-02-03 10:51:00,2021-02-03 10:57:00,360,2021-02-03,1440,3,16.5,34,867.28,3,444
"128","19552D55",2021-02-03 12:27:00,2021-02-03 12:30:00,180,2021-02-03,5400,4,21.1,24,865.55,4,558
"133","19552D55",2021-02-04 09:00:00,2021-02-04 09:00:00,0,2021-02-04,NA,1,1.4,71,871.58,8.1,197
"135","19552D55",2021-02-04 10:15:00,2021-02-04 10:18:00,180,2021-02-04,4500,2,2,48,872.05,10.4,226
"137","19552D55",2021-02-04 12:30:00,2021-02-04 12:30:00,0,2021-02-04,7920,3,4.8,32,872.66,5.5,638
"138","19552D55",2021-02-04 12:48:00,2021-02-04 12:48:00,0,2021-02-04,1080,4,5.3,28,872.51,5.6,691
"141","19552D55",2021-02-05 11:00:00,2021-02-05 11:09:00,540,2021-02-05,NA,1,5.7,32,868.76,7.5,548
"149","19552D55",2021-02-05 13:27:00,2021-02-05 13:27:00,0,2021-02-05,8280,2,7.8,24,866.62,3.4,681
"150","19552D55",2021-02-06 09:54:00,2021-02-06 10:03:00,540,2021-02-06,NA,1,4.4,38,870.58,8.1,364
"160","19552D55",2021-02-06 10:21:00,2021-02-06 10:30:00,540,2021-02-06,1080,2,5.7,34,870.84,7.6,450
"180","19552D55",2021-02-06 11:33:00,2021-02-06 11:54:00,1260,2021-02-06,3780,3,7.5,29,871.56,10.5,606
"199","19552D55",2021-02-06 16:57:00,2021-02-06 16:57:00,0,2021-02-06,18180,4,8,28,868.68,5,255
"200","19552D55",2021-02-07 14:00:00,2021-02-07 14:00:00,0,2021-02-07,NA,1,10.4,34,863.64,5.9,672
"207","19552D55",2021-02-07 14:15:00,2021-02-07 14:18:00,180,2021-02-07,900,2,10.8,32,863.44,6.9,655
"221","19552D55",2021-02-07 14:54:00,2021-02-07 14:54:00,0,2021-02-07,2160,3,12.1,29,862.97,6.3,612
"226","19552D55",2021-02-07 15:48:00,2021-02-07 15:48:00,0,2021-02-07,3240,4,12.6,27,862.37,7,336
"233","19552D55",2021-02-12 08:39:00,2021-02-12 08:39:00,0,2021-02-12,NA,1,-14.7,86,877.12,NA,23
"239","19552D55",2021-02-12 11:24:00,2021-02-12 11:30:00,360,2021-02-12,9900,2,-15.1,86,876.81,NA,118
"247","19552D55",2021-02-13 09:39:00,2021-02-13 09:39:00,0,2021-02-13,NA,1,-16.2,85,875.6,NA,78
"251","19552D55",2021-02-14 07:54:00,2021-02-14 08:21:00,1620,2021-02-14,NA,1,-20.2,82,877.98,6.1,10
"275","19552D55",2021-02-14 08:51:00,2021-02-14 08:51:00,0,2021-02-14,1800,2,-20.4,81,878.79,6.6,161
"282","19784C52",2021-01-20 11:51:00,2021-01-20 11:54:00,180,2021-01-20,NA,1,10.3,38,874.07,8.2,529
"286","19784C52",2021-01-22 13:48:00,2021-01-22 13:57:00,540,2021-01-22,NA,1,6.5,49,872.16,5.4,593
"310","19784C52",2021-01-23 10:18:00,2021-01-23 10:21:00,180,2021-01-23,NA,1,3.2,91,866.63,9,353
"313","19784C52",2021-01-24 09:06:00,2021-01-24 09:06:00,0,2021-01-24,NA,1,-4,87,871.52,4.6,43
"316","19784C52",2021-01-24 10:30:00,2021-01-24 10:39:00,540,2021-01-24,5040,2,-2.7,81,871.84,4.5,181
"339","19784C52",2021-01-24 11:12:00,2021-01-24 11:18:00,360,2021-01-24,1980,3,-2.2,80,871.5,3.6,189
"344","19784C52",2021-01-28 11:42:00,2021-01-28 11:45:00,180,2021-01-28,NA,1,10.4,17,879.23,12.1,507
"346","19784C52",2021-01-29 09:33:00,2021-01-29 09:39:00,360,2021-01-29,NA,1,4.7,38,869.81,7.7,147
"353","19784C52",2021-01-29 11:03:00,2021-01-29 11:09:00,360,2021-01-29,5040,2,9.6,28,870.07,6.5,273
"367","19784C52",2021-01-29 11:27:00,2021-01-29 11:42:00,900,2021-01-29,1080,3,10.6,27,870.01,5.8,284
"401","19784C52",2021-01-29 14:09:00,2021-01-29 14:12:00,180,2021-01-29,8820,4,19.2,8,866.84,8.9,516
"403","19784C52",2021-01-30 09:27:00,2021-01-30 09:33:00,360,2021-01-30,NA,1,9.7,36,859.9,16.1,252
