"","STID","STNM","TIME","TAIR","RELH","PRES","WSPD","SRAD","DATE","MONTH","DAY","YMDL","UTC"
"1","BOIS",12,2021-01-19 00:00:00,2.4,50,879.17,3.6,0,2021-01-19,"01","19",2021-01-19,2021-01-19 06:00:00
"2","BOIS",12,2021-01-19 00:05:00,2.2,51,879.28,2.9,0,2021-01-19,"01","19",2021-01-19,2021-01-19 06:05:00
"3","BOIS",12,2021-01-19 00:10:00,1.8,54,879.41,3.1,0,2021-01-19,"01","19",2021-01-19,2021-01-19 06:10:00
"4","BOIS",12,2021-01-19 00:15:00,1.6,55,879.47,2.5,0,2021-01-19,"01","19",2021-01-19,2021-01-19 06:15:00
"5","BOIS",12,2021-01-19 00:20:00,1.4,57,879.48,2.4,0,2021-01-19,"01","19",2021-01-19,2021-01-19 06:20:00
"6","BOIS",12,2021-01-19 00:25:00,1.3,58,879.39,2.5,0,2021-01-19,"01","19",2021-01-19,2021-01-19 06:25:00
"7","BOIS",12,2021-01-19 00:30:00,1.2,59,879.29,2.5,0,2021-01-19,"01","19",2021-01-19,2021-01-19 06:30:00
"8","BOIS",12,2021-01-19 00:35:00,1,60,879.36,3.2,0,2021-01-19,"01","19",2021-01-19,2021-01-19 06:35:00
"9","BOIS",12,2021-01-19 00:40:00,1.2,59,879.45,3,0,2021-01-19,"01","19",2021-01-19,2021-01-19 06:40:00
"10","BOIS",12,2021-01-19 00:45:00,1.2,59,879.58,2.3,0,2021-01-19,"01","19",2021-01-19,2021-01-19 06:45:00
"11","BOIS",12,2021-01-19 00:50:00,1.2,59,879.67,2.1,0,2021-01-19,"01","19",2021-01-19,2021-01-19 06:50:00
"12","BOIS",12,2021-01-19 00:55:00,1.2,59,879.81,2.5,0,2021-01-19,"01","19",2021-01-19,2021-01-19 06:55:00
"13","BOIS",12,2021-01-19 01:00:00,1.3,58,880.08,3.6,0,2021-01-19,"01","19",2021-01-19,2021-01-19 07:00:00
"14","BOIS",12,2021-01-19 01:05:00,1.4,57,880.21,3.5,0,2021-01-19,"01","19",2021-01-19,2021-01-19 07:05:00
"15","BOIS",12,2021-01-19 01:10:00,1.4,57,880.3,3,0,2021-01-19,"01","19",2021-01-19,2021-01-19 07:10:00
"16","BOIS",12,2021-01-19 01:15:00,1.5,57,880.34,2.6,0,2021-01-19,"01","19",2021-01-19,2021-01-19 07:15:00
"17","BOIS",12,2021-01-19 01:20:00,1.5,57,880.35,3,0,2021-01-19,"01","19",2021-01-19,2021-01-19 07:20:00
"18","BOIS",12,2021-01-19 01:25:00,1.7,56,880.39,3.1,0,2021-01-19,"01","19",2021-01-19,2021-01-19 07:25:00
"19","BOIS",12,2021-01-19 01:30:00,2,54,880.44,4.4,0,2021-01-19,"01","19",2021-01-19,2021-01-19 07:30:00
"20","BOIS",12,2021-01-19 01:35:00,2,53,880.56,3.4,0,2021-01-19,"01","19",2021-01-19,2021-01-19 07:35:00
"21","BOIS",12,2021-01-19 01:40:00,1.8,54,880.62,4.3,0,2021-01-19,"01","19",2021-01-19,2021-01-19 07:40:00
"22","BOIS",12,2021-01-19 01:45:00,1.8,53,880.64,3.8,0,2021-01-19,"01","19",2021-01-19,2021-01-19 07:45:00
"23","BOIS",12,2021-01-19 01:50:00,1.8,52,880.59,3.6,0,2021-01-19,"01","19",2021-01-19,2021-01-19 07:50:00
"24","BOIS",12,2021-01-19 01:55:00,1.6,53,880.51,5.4,0,2021-01-19,"01","19",2021-01-19,2021-01-19 07:55:00
"25","BOIS",12,2021-01-19 02:00:00,1.7,52,880.56,5.6,0,2021-01-19,"01","19",2021-01-19,2021-01-19 08:00:00
"26","BOIS",12,2021-01-19 02:05:00,1.5,53,880.59,4.1,0,2021-01-19,"01","19",2021-01-19,2021-01-19 08:05:00
"27","BOIS",12,2021-01-19 02:10:00,1.2,55,880.75,3.9,0,2021-01-19,"01","19",2021-01-19,2021-01-19 08:10:00
"28","BOIS",12,2021-01-19 02:15:00,1.2,54,880.8,5.8,0,2021-01-19,"01","19",2021-01-19,2021-01-19 08:15:00
"29","BOIS",12,2021-01-19 02:20:00,1.3,52,880.89,7,0,2021-01-19,"01","19",2021-01-19,2021-01-19 08:20:00
"30","BOIS",12,2021-01-19 02:25:00,1.2,52,880.91,7.1,0,2021-01-19,"01","19",2021-01-19,2021-01-19 08:25:00
"31","BOIS",12,2021-01-19 02:30:00,1,51,880.98,8,0,2021-01-19,"01","19",2021-01-19,2021-01-19 08:30:00
"32","BOIS",12,2021-01-19 02:35:00,0.8,51,880.98,7.8,0,2021-01-19,"01","19",2021-01-19,2021-01-19 08:35:00
"33","BOIS",12,2021-01-19 02:40:00,0.6,51,880.9,7.3,0,2021-01-19,"01","19",2021-01-19,2021-01-19 08:40:00
"34","BOIS",12,2021-01-19 02:45:00,0.5,52,880.91,7.1,0,2021-01-19,"01","19",2021-01-19,2021-01-19 08:45:00
"35","BOIS",12,2021-01-19 02:50:00,0.3,52,881.06,6.9,0,2021-01-19,"01","19",2021-01-19,2021-01-19 08:50:00
"36","BOIS",12,2021-01-19 02:55:00,0.2,51,881.23,6.8,0,2021-01-19,"01","19",2021-01-19,2021-01-19 08:55:00
"37","BOIS",12,2021-01-19 03:00:00,0.1,52,881.29,6.5,0,2021-01-19,"01","19",2021-01-19,2021-01-19 09:00:00
"38","BOIS",12,2021-01-19 03:05:00,-0.1,52,881.27,6.3,0,2021-01-19,"01","19",2021-01-19,2021-01-19 09:05:00
"39","BOIS",12,2021-01-19 03:10:00,-0.1,52,881.44,6.4,0,2021-01-19,"01","19",2021-01-19,2021-01-19 09:10:00
"40","BOIS",12,2021-01-19 03:15:00,-0.2,53,881.62,5.4,0,2021-01-19,"01","19",2021-01-19,2021-01-19 09:15:00
"41","BOIS",12,2021-01-19 03:20:00,-0.3,53,881.57,5.6,0,2021-01-19,"01","19",2021-01-19,2021-01-19 09:20:00
"42","BOIS",12,2021-01-19 03:25:00,-0.3,53,881.59,5.8,0,2021-01-19,"01","19",2021-01-19,2021-01-19 09:25:00
"43","BOIS",12,2021-01-19 03:30:00,-0.4,54,881.56,5.3,0,2021-01-19,"01","19",2021-01-19,2021-01-19 09:30:00
"44","BOIS",12,2021-01-19 03:35:00,-0.4,54,881.56,5.3,0,2021-01-19,"01","19",2021-01-19,2021-01-19 09:35:00
"45","BOIS",12,2021-01-19 03:40:00,-0.4,54,881.73,5.4,0,2021-01-19,"01","19",2021-01-19,2021-01-19 09:40:00
"46","BOIS",12,2021-01-19 03:45:00,-0.5,54,881.77,5.3,0,2021-01-19,"01","19",2021-01-19,2021-01-19 09:45:00
"47","BOIS",12,2021-01-19 03:50:00,-0.6,55,881.78,5,0,2021-01-19,"01","19",2021-01-19,2021-01-19 09:50:00
"48","BOIS",12,2021-01-19 03:55:00,-0.6,55,881.64,4.9,0,2021-01-19,"01","19",2021-01-19,2021-01-19 09:55:00
"49","BOIS",12,2021-01-19 04:00:00,-0.6,55,881.49,5.3,0,2021-01-19,"01","19",2021-01-19,2021-01-19 10:00:00
"50","BOIS",12,2021-01-19 04:05:00,-0.7,55,881.46,5.6,0,2021-01-19,"01","19",2021-01-19,2021-01-19 10:05:00
"51","BOIS",12,2021-01-19 04:10:00,-0.7,56,881.64,5.3,0,2021-01-19,"01","19",2021-01-19,2021-01-19 10:10:00
"52","BOIS",12,2021-01-19 04:15:00,-0.8,56,881.8,5.3,0,2021-01-19,"01","19",2021-01-19,2021-01-19 10:15:00
"53","BOIS",12,2021-01-19 04:20:00,-0.8,56,881.9,5.2,0,2021-01-19,"01","19",2021-01-19,2021-01-19 10:20:00
"54","BOIS",12,2021-01-19 04:25:00,-0.8,57,881.94,5.1,0,2021-01-19,"01","19",2021-01-19,2021-01-19 10:25:00
"55","BOIS",12,2021-01-19 04:30:00,-0.9,57,881.92,5.1,0,2021-01-19,"01","19",2021-01-19,2021-01-19 10:30:00
"56","BOIS",12,2021-01-19 04:35:00,-0.9,58,881.9,5.4,0,2021-01-19,"01","19",2021-01-19,2021-01-19 10:35:00
"57","BOIS",12,2021-01-19 04:40:00,-0.9,58,881.82,5.1,0,2021-01-19,"01","19",2021-01-19,2021-01-19 10:40:00
"58","BOIS",12,2021-01-19 04:45:00,-0.9,58,881.84,5.2,0,2021-01-19,"01","19",2021-01-19,2021-01-19 10:45:00
"59","BOIS",12,2021-01-19 04:50:00,-1,59,881.92,4.9,0,2021-01-19,"01","19",2021-01-19,2021-01-19 10:50:00
"60","BOIS",12,2021-01-19 04:55:00,-1.1,60,881.99,4.6,0,2021-01-19,"01","19",2021-01-19,2021-01-19 10:55:00
"61","BOIS",12,2021-01-19 05:00:00,-1.2,60,882.17,4.7,0,2021-01-19,"01","19",2021-01-19,2021-01-19 11:00:00
"62","BOIS",12,2021-01-19 05:05:00,-1.2,61,882.37,4.9,0,2021-01-19,"01","19",2021-01-19,2021-01-19 11:05:00
"63","BOIS",12,2021-01-19 05:10:00,-1.2,61,882.36,4.8,0,2021-01-19,"01","19",2021-01-19,2021-01-19 11:10:00
"64","BOIS",12,2021-01-19 05:15:00,-1.2,62,882.32,5.3,0,2021-01-19,"01","19",2021-01-19,2021-01-19 11:15:00
"65","BOIS",12,2021-01-19 05:20:00,-1.2,63,882.37,5.6,0,2021-01-19,"01","19",2021-01-19,2021-01-19 11:20:00
"66","BOIS",12,2021-01-19 05:25:00,-1.3,63,882.53,5.4,0,2021-01-19,"01","19",2021-01-19,2021-01-19 11:25:00
"67","BOIS",12,2021-01-19 05:30:00,-1.3,64,882.58,5.2,0,2021-01-19,"01","19",2021-01-19,2021-01-19 11:30:00
"68","BOIS",12,2021-01-19 05:35:00,-1.3,65,882.56,5.5,0,2021-01-19,"01","19",2021-01-19,2021-01-19 11:35:00
"69","BOIS",12,2021-01-19 05:40:00,-1.4,65,882.56,5.5,0,2021-01-19,"01","19",2021-01-19,2021-01-19 11:40:00
"70","BOIS",12,2021-01-19 05:45:00,-1.4,65,882.64,5.3,0,2021-01-19,"01","19",2021-01-19,2021-01-19 11:45:00
"71","BOIS",12,2021-01-19 05:50:00,-1.4,66,882.71,5.1,0,2021-01-19,"01","19",2021-01-19,2021-01-19 11:50:00
